!!SBtab	SBtabVersion='1.0' Document='Nair_2016_optimized' TableName='Reaction' TableTitle='Reaction' TableType = 'Reaction'				
!ID	!Name	!KineticLaw	!IsReversible	!Location	!ReactionFormula
R0	ReactionFlux0	kf_R0*GaolfGTP	0	Spine	GaolfGTP <=> GaolfGDP
R1	ReactionFlux1	kf_R1*D1R_Golf_DA	0	Spine	D1R_Golf_DA <=> Gbgolf + D1R_DA + GaolfGTP
R2	ReactionFlux2	kf_R2*D1R_Golf*DA-kr_R2*D1R_Golf_DA	1	Spine	D1R_Golf + DA <=> D1R_Golf_DA
R3	ReactionFlux3	kf_R3*D1R*DA-kr_R3*D1R_DA	1	Spine	D1R + DA <=> D1R_DA
R4	ReactionFlux4	kf_R4*AC5*GaolfGTP-kr_R4*AC5_GaolfGTP	1	Spine	AC5 + GaolfGTP <=> AC5_GaolfGTP
R5	ReactionFlux5	kf_R5*CaM*Ca-kr_R5*CaM_Ca2	1	Spine	CaM + Ca <=> CaM_Ca2
R6	ReactionFlux6	kf_R6*PP2B*CaM-kr_R6*PP2B_CaM	1	Spine	PP2B + CaM <=> PP2B_CaM
R7	ReactionFlux7	kf_R7*CaM_Ca4*PP2B-kr_R7*PP2Bc	1	Spine	CaM_Ca4 + PP2B <=> PP2Bc
R8	ReactionFlux8	kf_R8*PKAc*D32-kr_R8*PKAc_D32	1	Spine	PKAc + D32 <=> PKAc_D32
R9	ReactionFlux9	kf_R9*PKAc_D32	0	Spine	PKAc_D32 <=> D32p34 + PKAc
R10	ReactionFlux10	kf_R10*PKAc*B56PP2A-kr_R10*PKAc_B56PP2A	1	Spine	PKAc + B56PP2A <=> PKAc_B56PP2A
R11	ReactionFlux11	kf_R11*PKAc_B56PP2A	0	Spine	PKAc_B56PP2A <=> B56PP2Ap + PKAc
R12	ReactionFlux12	kf_R12*D32p34*PP1-kr_R12*PP1_D32p34	1	Spine	D32p34 + PP1 <=> PP1_D32p34
R13	ReactionFlux13	kf_R13*CDK5*D32-kr_R13*CDK5_D32	1	Spine	CDK5 + D32 <=> CDK5_D32
R14	ReactionFlux14	kf_R14*CDK5_D32	0	Spine	CDK5_D32 <=> CDK5 + D32p75
R15	ReactionFlux15	kf_R15*D32p75*PKAc-kr_R15*PKAc_D32p75	1	Spine	D32p75 + PKAc <=> PKAc_D32p75
R16	ReactionFlux16	kf_R16*B72PP2A*Ca-kr_R16*B72PP2A_Ca	1	Spine	B72PP2A + Ca <=> B72PP2A_Ca
R17	ReactionFlux17	kf_R17*B56PP2Ap*D32p75-kr_R17*B56PP2Ap_D32p75	1	Spine	B56PP2Ap + D32p75 <=> B56PP2Ap_D32p75
R18	ReactionFlux18	kf_R18*B72PP2A*D32p75-kr_R18*B72PP2A_D32p75	1	Spine	B72PP2A + D32p75 <=> B72PP2A_D32p75
R19	ReactionFlux19	kf_R19*D32p75*B72PP2A_Ca-kr_R19*B72PP2A_Ca_D32p75	1	Spine	D32p75 + B72PP2A_Ca <=> B72PP2A_Ca_D32p75
R20	ReactionFlux20	kf_R20*B56PP2Ap_D32p75	0	Spine	B56PP2Ap_D32p75 <=> B56PP2Ap + D32
R21	ReactionFlux21	kf_R21*B72PP2A_D32p75	0	Spine	B72PP2A_D32p75 <=> B72PP2A + D32
R22	ReactionFlux22	kf_R22*B72PP2A_Ca_D32p75	0	Spine	B72PP2A_Ca_D32p75 <=> B72PP2A_Ca + D32
R23	ReactionFlux23	kf_R23*D32p34*PP2Bc-kr_R23*PP2Bc_D32p34	1	Spine	D32p34 + PP2Bc <=> PP2Bc_D32p34
R24	ReactionFlux24	kf_R24*CaM_Ca2*Ca-kr_R24*CaM_Ca4	1	Spine	CaM_Ca2 + Ca <=> CaM_Ca4
R25	ReactionFlux25	kf_R25*Ca*PP2B_CaM-kr_R25*PP2B_CaM_Ca2	1	Spine	Ca + PP2B_CaM <=> PP2B_CaM_Ca2
R26	ReactionFlux26	kf_R26*Ca*PP2B_CaM_Ca2-kr_R26*PP2Bc	1	Spine	Ca + PP2B_CaM_Ca2 <=> PP2Bc
R27	ReactionFlux27	kf_R27*CaM_Ca2*PP2B-kr_R27*PP2B_CaM_Ca2	1	Spine	CaM_Ca2 + PP2B <=> PP2B_CaM_Ca2
R28	ReactionFlux28	kf_R28*AC5*Ca-kr_R28*AC5_Ca	1	Spine	AC5 + Ca <=> AC5_Ca
R29	ReactionFlux29	kf_R29*AC5_Ca*GaolfGTP-kr_R29*AC5_Ca_GaolfGTP	1	Spine	AC5_Ca + GaolfGTP <=> AC5_Ca_GaolfGTP
